Date,Value1,Value2
2004-01,5,0
2004-02,9,0
2004-03,8,0
2004-04,7,0
2004-05,0,0
2004-06,0,0
2004-07,6,0
2004-08,5,0
2004-09,6,0
2004-10,5,0
2004-11,4,0
2004-12,4,0
2005-01,5,0
2005-02,4,0
2005-03,3,0
2005-04,6,0
2005-05,3,0
2005-06,4,0
2005-07,3,0
2005-08,5,0
2005-09,3,0
2005-10,4,0
2005-11,4,0
2005-12,2,0
2006-01,3,0
2006-02,6,0
2006-03,4,0
2006-04,5,0
2006-05,3,0
2006-06,5,0
2006-07,3,0
2006-08,3,0
2006-09,3,0
2006-10,3,0
2006-11,4,0
2006-12,4,0
2007-01,4,0
2007-02,2,0
2007-03,3,0
2007-04,2,0
2007-05,3,0
2007-06,2,0
2007-07,2,0
2007-08,2,0
2007-09,3,0
2007-10,2,0
2007-11,3,0
2007-12,4,0
2008-01,3,0
2008-02,4,0
2008-03,3,0
2008-04,3,0
2008-05,3,0
2008-06,3,0
2008-07,3,0
2008-08,3,0
2008-09,3,0
2008-10,3,0
2008-11,2,0
2008-12,3,0
2009-01,3,0
2009-02,2,0
2009-03,3,0
2009-04,3,0
2009-05,3,0
2009-06,2,0
2009-07,3,0
2009-08,3,0
2009-09,8,0
2009-10,5,0
2009-11,4,0
2009-12,4,0
2010-01,4,0
2010-02,4,0
2010-03,5,0
2010-04,4,0
2010-05,4,0
2010-06,5,0
2010-07,4,0
2010-08,4,0
2010-09,4,0
2010-10,4,0
2010-11,5,0
2010-12,4,0
2011-01,3,0
2011-02,4,0
2011-03,100,5
2011-04,46,3
2011-05,18,2
2011-06,15,2
2011-07,10,1
2011-08,8,1
2011-09,7,1
2011-10,8,1
2011-11,6,1
2011-12,6,1
2012-01,6,1
2012-02,5,1
2012-03,5,1
2012-04,7,1
2012-05,7,1
2012-06,7,1
2012-07,5,1
2012-08,5,1
2012-09,6,1
2012-10,6,1
2012-11,5,1
2012-12,4,1
2013-01,4,1
2013-02,5,1
2013-03,5,1
2013-04,5,1
2013-05,5,1
2013-06,5,1
2013-07,4,1
2013-08,8,1
2013-09,7,1
2013-10,7,1
2013-11,7,1
2013-12,8,1
2014-01,13,1
2014-02,7,1
2014-03,6,1
2014-04,5,1
2014-05,5,1
2014-06,5,<1
2014-07,4,<1
2014-08,4,<1
2014-09,4,1
2014-10,4,1
2014-11,4,1
2014-12,5,1
2015-01,4,1
2015-02,4,1
2015-03,4,1
2015-04,4,1
2015-05,4,1
2015-06,4,<1
2015-07,4,<1
2015-08,4,1
2015-09,5,1
2015-10,4,1
2015-11,4,1
2015-12,4,1
2016-01,4,1
2016-02,4,1
2016-03,5,1
2016-04,5,1
2016-05,4,1
2016-06,3,<1
2016-07,3,<1
2016-08,2,<1
2016-09,4,<1
2016-10,4,1
2016-11,3,1
2016-12,3,1
2017-01,4,<1
2017-02,7,1
2017-03,5,1
2017-04,5,1
2017-05,4,1
2017-06,3,<1
2017-07,3,<1
2017-08,4,<1
2017-09,4,1
2017-10,4,1
2017-11,4,1
2017-12,3,1
2018-01,3,<1
2018-02,3,1
2018-03,4,1
2018-04,4,1
2018-05,3,1
2018-06,3,<1
2018-07,9,<1
2018-08,8,<1
2018-09,5,<1
2018-10,4,<1
2018-11,4,1
2018-12,4,<1
2019-01,4,1
2019-02,5,1
2019-03,4,1
2019-04,4,1
2019-05,11,1
2019-06,13,1
2019-07,5,<1
2019-08,5,<1
2019-09,5,1
2019-10,5,<1
2019-11,5,<1
2019-12,4,<1
2020-01,5,1
2020-02,4,1
2020-03,5,1
2020-04,11,<1
2020-05,5,<1
2020-06,4,<1
2020-07,3,<1
2020-08,4,<1
2020-09,5,<1
2020-10,4,<1
2020-11,4,<1
2020-12,4,<1
2021-01,4,<1
2021-02,5,<1
2021-03,4,<1
2021-04,4,<1
2021-05,4,<1
2021-06,4,<1
2021-07,4,<1
2021-08,4,<1
2021-09,4,<1
2021-10,4,<1
2021-11,4,<1
2021-12,4,<1
2022-01,4,<1
2022-02,10,<1
2022-03,9,1
2022-04,6,1
2022-05,5,<1
2022-06,4,<1
2022-07,3,<1
2022-08,3,<1
2022-09,4,<1
2022-10,4,<1
2022-11,4,<1
2022-12,4,<1
2023-01,4,<1
2023-02,5,1
2023-03,5,<1
2023-04,5,1
2023-05,5,<1
2023-06,4,1
2023-07,3,1
2023-08,4,1
2023-09,8,1
2023-10,5,1
2023-11,5,1
2023-12,4,1
2024-01,5,1
2024-02,6,1
2024-03,5,1
2024-04,6,1
