Date,Value
19-01-2024,12
20-01-2024,10
21-01-2024,7
22-01-2024,5
23-01-2024,8
24-01-2024,7
25-01-2024,8
26-01-2024,8
27-01-2024,7
28-01-2024,6
29-01-2024,6
30-01-2024,8
31-01-2024,6
01-02-2024,8
02-02-2024,9
03-02-2024,10
04-02-2024,10
05-02-2024,9
06-02-2024,8
07-02-2024,9
08-02-2024,6
09-02-2024,9
10-02-2024,7
11-02-2024,5
12-02-2024,8
13-02-2024,9
14-02-2024,9
15-02-2024,9
16-02-2024,6
17-02-2024,9
18-02-2024,9
19-02-2024,5
20-02-2024,10
21-02-2024,12
22-02-2024,6
23-02-2024,8
24-02-2024,8
25-02-2024,6
26-02-2024,9
27-02-2024,7
28-02-2024,10
29-02-2024,8
01-03-2024,7
02-03-2024,5
03-03-2024,8
04-03-2024,8
05-03-2024,9
06-03-2024,8
07-03-2024,8
08-03-2024,8
09-03-2024,6
10-03-2024,8
11-03-2024,9
12-03-2024,7
13-03-2024,7
14-03-2024,8
15-03-2024,7
16-03-2024,7
17-03-2024,8
18-03-2024,9
19-03-2024,9
20-03-2024,8
21-03-2024,4
22-03-2024,8
23-03-2024,8
24-03-2024,8
25-03-2024,8
26-03-2024,9
27-03-2024,8
28-03-2024,8
29-03-2024,10
30-03-2024,7
31-03-2024,5
01-04-2024,10
02-04-2024,8
03-04-2024,5
04-04-2024,8
05-04-2024,8
06-04-2024,8
07-04-2024,10
08-04-2024,77
09-04-2024,100
10-04-2024,31
11-04-2024,18
12-04-2024,12
13-04-2024,11
14-04-2024,11
15-04-2024,10
16-04-2024,10
17-04-2024,9
18-04-2024,9
19-04-2024,8
