Date,Value
2004-01,0
2004-02,5
2004-03,8
2004-04,10
2004-05,0
2004-06,0
2004-07,0
2004-08,6
2004-09,0
2004-10,4
2004-11,4
2004-12,4
2005-01,5
2005-02,6
2005-03,4
2005-04,6
2005-05,5
2005-06,3
2005-07,4
2005-08,5
2005-09,3
2005-10,4
2005-11,4
2005-12,2
2006-01,2
2006-02,6
2006-03,4
2006-04,3
2006-05,4
2006-06,4
2006-07,3
2006-08,3
2006-09,3
2006-10,4
2006-11,4
2006-12,3
2007-01,4
2007-02,2
2007-03,4
2007-04,2
2007-05,4
2007-06,2
2007-07,2
2007-08,3
2007-09,3
2007-10,3
2007-11,3
2007-12,3
2008-01,3
2008-02,4
2008-03,3
2008-04,3
2008-05,3
2008-06,4
2008-07,3
2008-08,3
2008-09,3
2008-10,3
2008-11,2
2008-12,3
2009-01,3
2009-02,2
2009-03,3
2009-04,3
2009-05,3
2009-06,3
2009-07,3
2009-08,3
2009-09,8
2009-10,5
2009-11,4
2009-12,4
2010-01,4
2010-02,4
2010-03,6
2010-04,3
2010-05,4
2010-06,6
2010-07,4
2010-08,4
2010-09,4
2010-10,4
2010-11,5
2010-12,4
2011-01,3
2011-02,4
2011-03,100
2011-04,46
2011-05,18
2011-06,15
2011-07,10
2011-08,8
2011-09,7
2011-10,8
2011-11,6
2011-12,6
2012-01,6
2012-02,5
2012-03,5
2012-04,7
2012-05,7
2012-06,7
2012-07,5
2012-08,5
2012-09,6
2012-10,6
2012-11,5
2012-12,4
2013-01,4
2013-02,5
2013-03,5
2013-04,5
2013-05,5
2013-06,5
2013-07,4
2013-08,8
2013-09,7
2013-10,7
2013-11,7
2013-12,8
2014-01,14
2014-02,7
2014-03,6
2014-04,5
2014-05,5
2014-06,5
2014-07,5
2014-08,4
2014-09,4
2014-10,4
2014-11,4
2014-12,4
2015-01,3
2015-02,4
2015-03,4
2015-04,5
2015-05,4
2015-06,4
2015-07,4
2015-08,4
2015-09,4
2015-10,4
2015-11,4
2015-12,4
2016-01,4
2016-02,4
2016-03,5
2016-04,5
2016-05,4
2016-06,3
2016-07,3
2016-08,2
2016-09,4
2016-10,4
2016-11,3
2016-12,3
2017-01,4
2017-02,7
2017-03,5
2017-04,5
2017-05,4
2017-06,3
2017-07,3
2017-08,4
2017-09,4
2017-10,4
2017-11,4
2017-12,3
2018-01,3
2018-02,3
2018-03,4
2018-04,4
2018-05,3
2018-06,3
2018-07,9
2018-08,8
2018-09,5
2018-10,5
2018-11,4
2018-12,4
2019-01,4
2019-02,5
2019-03,4
2019-04,4
2019-05,11
2019-06,13
2019-07,5
2019-08,5
2019-09,5
2019-10,5
2019-11,5
2019-12,4
2020-01,4
2020-02,4
2020-03,5
2020-04,11
2020-05,5
2020-06,4
2020-07,3
2020-08,4
2020-09,4
2020-10,4
2020-11,4
2020-12,4
2021-01,4
2021-02,5
2021-03,4
2021-04,4
2021-05,4
2021-06,4
2021-07,4
2021-08,4
2021-09,4
2021-10,4
2021-11,4
2021-12,4
2022-01,4
2022-02,10
2022-03,9
2022-04,6
2022-05,5
2022-06,4
2022-07,3
2022-08,3
2022-09,4
2022-10,4
2022-11,5
2022-12,4
2023-01,4
2023-02,5
2023-03,5
2023-04,5
2023-05,5
2023-06,4
2023-07,3
2023-08,3
2023-09,8
2023-10,5
2023-11,5
2023-12,4
2024-01,5
2024-02,6
2024-03,5
2024-04,6
