Date,Value
2004-01,0
2004-02,26
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,22
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,21
2005-02,0
2005-03,23
2005-04,22
2005-05,15
2005-06,0
2005-07,0
2005-08,18
2005-09,26
2005-10,18
2005-11,18
2005-12,24
2006-01,20
2006-02,15
2006-03,18
2006-04,18
2006-05,16
2006-06,10
2006-07,9
2006-08,9
2006-09,12
2006-10,11
2006-11,14
2006-12,12
2007-01,20
2007-02,12
2007-03,12
2007-04,14
2007-05,14
2007-06,10
2007-07,8
2007-08,12
2007-09,11
2007-10,10
2007-11,10
2007-12,11
2008-01,11
2008-02,11
2008-03,10
2008-04,10
2008-05,12
2008-06,9
2008-07,10
2008-08,12
2008-09,9
2008-10,12
2008-11,10
2008-12,10
2009-01,8
2009-02,8
2009-03,11
2009-04,11
2009-05,12
2009-06,9
2009-07,9
2009-08,27
2009-09,15
2009-10,14
2009-11,12
2009-12,16
2010-01,12
2010-02,16
2010-03,11
2010-04,10
2010-05,9
2010-06,9
2010-07,12
2010-08,13
2010-09,12
2010-10,9
2010-11,11
2010-12,12
2011-01,11
2011-02,11
2011-03,10
2011-04,8
2011-05,8
2011-06,7
2011-07,9
2011-08,9
2011-09,9
2011-10,10
2011-11,9
2011-12,10
2012-01,9
2012-02,10
2012-03,9
2012-04,8
2012-05,8
2012-06,8
2012-07,9
2012-08,9
2012-09,10
2012-10,10
2012-11,10
2012-12,9
2013-01,11
2013-02,12
2013-03,10
2013-04,9
2013-05,9
2013-06,8
2013-07,11
2013-08,10
2013-09,11
2013-10,10
2013-11,12
2013-12,12
2014-01,12
2014-02,13
2014-03,12
2014-04,11
2014-05,10
2014-06,10
2014-07,12
2014-08,12
2014-09,12
2014-10,12
2014-11,13
2014-12,13
2015-01,15
2015-02,24
2015-03,21
2015-04,14
2015-05,12
2015-06,12
2015-07,14
2015-08,15
2015-09,16
2015-10,16
2015-11,16
2015-12,16
2016-01,16
2016-02,18
2016-03,15
2016-04,13
2016-05,11
2016-06,13
2016-07,18
2016-08,15
2016-09,17
2016-10,16
2016-11,17
2016-12,15
2017-01,16
2017-02,20
2017-03,16
2017-04,14
2017-05,14
2017-06,13
2017-07,16
2017-08,17
2017-09,20
2017-10,21
2017-11,18
2017-12,18
2018-01,23
2018-02,21
2018-03,18
2018-04,15
2018-05,14
2018-06,13
2018-07,15
2018-08,14
2018-09,15
2018-10,15
2018-11,14
2018-12,14
2019-01,18
2019-02,18
2019-03,15
2019-04,14
2019-05,14
2019-06,14
2019-07,16
2019-08,18
2019-09,18
2019-10,18
2019-11,23
2019-12,20
2020-01,26
2020-02,33
2020-03,100
2020-04,58
2020-05,45
2020-06,50
2020-07,54
2020-08,41
2020-09,40
2020-10,33
2020-11,31
2020-12,22
2021-01,19
2021-02,21
2021-03,22
2021-04,65
2021-05,60
2021-06,25
2021-07,27
2021-08,30
2021-09,25
2021-10,24
2021-11,22
2021-12,23
2022-01,58
2022-02,23
2022-03,22
2022-04,24
2022-05,22
2022-06,28
2022-07,30
2022-08,32
2022-09,26
2022-10,30
2022-11,30
2022-12,36
2023-01,39
2023-02,43
2023-03,34
2023-04,28
2023-05,19
2023-06,20
2023-07,23
2023-08,25
2023-09,25
2023-10,27
2023-11,26
2023-12,29
2024-01,29
2024-02,31
2024-03,29
2024-04,23
